,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
KLK3,5.022081,1.2530173,0.31236428,0.6137809,3.7091923,0.35050178,1.1130675,1.2915806,0.8002843,1.4729285,1.2028501,1.0060034,4.1974454,3.3465247,1.632394,0.24161696,0.9982918,0.9144764,3.8205924,0.6242358,2.047845,0.9388042,0.44809058,0.2539693,0.136396,0.016259229
KLK2,4.6804233,1.1895753,0.18343219,0.5260954,3.2427535,0.31676137,1.0081124,1.1460378,0.6371813,1.210644,0.98046553,0.77695334,3.3644357,2.7884154,1.385862,0.13656996,0.832168,0.81674194,3.1843164,0.80432487,2.064454,1.0503347,0.3604002,0.2138983,0.08243547,0.015957376
UBC,4.285092,1.1659969,0.89262277,0.6344406,1.718425,0.56434673,0.7411262,1.1485347,0.7177559,0.6738574,1.1778488,1.5169189,4.336665,0.9429295,1.7292454,0.66467565,1.5858569,0.28004345,3.8043704,0.44890043,1.165402,0.7305128,0.5368082,0.827206,0.25891614,0.06635602
EEF2,4.2848306,1.2930119,0.48144278,0.7276314,1.635666,0.48873612,0.9102633,0.95912576,0.5110612,0.20965886,1.0982149,0.864351,2.9333806,1.3918321,1.4105021,0.5215365,1.0783645,0.34635058,2.8141806,1.085463,2.3021643,0.59952945,0.49750993,0.52912694,0.18800974,0.40393636
PABPC1,3.6218026,1.0316315,0.74514323,0.6885778,1.1835513,0.55715954,0.7669328,0.77209675,0.4008967,0.3378962,0.929663,0.6419977,2.341996,1.1505688,1.1141096,0.3137512,0.8027176,0.34200513,2.0289876,0.67701775,2.1746182,0.42882484,0.44689664,0.30416408,0.21053164,0.24302374
ACTB,3.5101917,1.0538232,0.77052444,0.71495116,0.87292445,0.53949535,0.7346319,1.1092118,0.73304564,0.34686786,1.2203202,1.2349684,4.338973,0.8859386,1.8192377,1.0324899,1.568504,0.2945001,4.1871467,0.6469348,1.170579,0.55183536,0.4555262,1.225151,0.26300913,0.13479766
SERF2,3.5006745,1.1737037,0.35675436,0.57441014,1.5118738,0.37246642,0.58651847,0.6908999,0.4965838,0.58444446,0.8585388,0.75752646,2.0082572,0.9799977,0.90771484,0.31805778,0.73793495,0.2271341,1.8354702,0.56241137,0.9377944,0.53823465,0.34275156,0.39567086,0.1854632,0.32220274
EEF1G,3.4153662,1.1438028,0.67788845,0.57073385,1.4056937,0.4668625,0.9246607,0.74959165,0.42539564,0.39366576,0.94948775,0.71538806,2.176239,1.4338851,1.0262904,0.36811188,0.9224771,0.31314513,1.9346297,0.7233843,2.0030968,0.4454827,0.43368477,0.27914026,0.17398891,0.4373201
RACK1,3.345619,1.2292045,0.41587636,0.40171707,0.8620703,0.34280208,0.5232054,0.57737213,0.3403468,0.03905159,0.70281714,0.4756156,1.2853433,0.9434192,0.7340499,0.1919498,0.43629417,0.35439157,1.4920511,0.575462,2.2883956,0.35878617,0.40014723,0.026836582,0.14390753,0.2896209
UBA52,3.3420365,0.95642257,0.5740836,0.59617954,1.1133024,0.43782976,0.6778975,0.74416417,0.46588188,0.33595157,0.92651945,0.8134902,2.095068,1.1272193,0.9891677,0.37551636,0.8376719,0.23932578,1.7865235,0.84783334,1.880856,0.5447143,0.30476135,0.2519912,0.21020007,0.40061563
